Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,March,Q1,New Customer,Outbound,Public Sector,1200
2014,March,Q1,New Customer,Outbound,Business Services,6525
2014,March,Q1,New Customer,Outbound,Hotel & Travel,1500
2014,March,Q1,New Customer,Outbound,High Technology,30000
2014,March,Q1,New Customer,Outbound,Public Sector,2196
2014,March,Q1,New Customer,Inbound,Public Sector,900
2014,March,Q1,Existing Customer,Outbound,Retail,5603
2014,March,Q1,Existing Customer,Outbound,Media & Entertainment,500
2014,March,Q1,Existing Customer,Outbound,Retail,31801
2014,March,Q1,Existing Customer,Outbound,Gaming,136500
2014,March,Q1,Existing Customer,Outbound,Retail,10250
2014,March,Q1,Existing Customer,Outbound,High Technology,53
2014,March,Q1,Existing Customer,Outbound,Media & Entertainment,1900
2014,March,Q1,Existing Customer,Outbound,Financial Services,64225
2014,March,Q1,Existing Customer,Outbound,Retail,850
2014,March,Q1,Existing Customer,Outbound,Retail,2500
2014,March,Q1,Existing Customer,Outbound,Retail,10000
2014,March,Q1,Existing Customer,Outbound,Media & Entertainment,890
2014,March,Q1,Existing Customer,Outbound,Consumer Goods,5400
2014,March,Q1,Existing Customer,Outbound,Media & Entertainment,287
2014,March,Q1,Existing Customer,Outbound,Business Services,634
2014,March,Q1,Existing Customer,Outbound,Public Sector,1000
2014,March,Q1,Existing Customer,Outbound,Hotel & Travel,9415
2014,March,Q1,Existing Customer,Outbound,Media & Entertainment,460
2014,March,Q1,Existing Customer,Outbound,Public Sector,3162
2014,March,Q1,Existing Customer,Outbound,Financial Services,27465
2014,March,Q1,New Customer,Outbound,Media & Entertainment,17880
2014,March,Q1,New Customer,Outbound,Media & Entertainment,2000
2014,March,Q1,New Customer,Outbound,High Technology,3160
2014,March,Q1,Existing Customer,Outbound,Retail,7225
2014,March,Q1,New Customer,Outbound,Financial Services,5556
2014,March,Q1,New Customer,Outbound,High Technology,252000
2014,March,Q1,New Customer,Outbound,Retail,260000
2014,March,Q1,Existing Customer,Outbound,Public Sector,79479
2014,March,Q1,New Customer,Outbound,Consumer Goods,2500
2014,March,Q1,New Customer,Outbound,Business Services,2400
2014,March,Q1,New Customer,Outbound,High Technology,2363
2014,March,Q1,Existing Customer,Outbound,High Technology,8348
2014,April,Q2,New Customer,Outbound,Retail,2103
