Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,June,Q2,Existing Customer,Outbound,High Technology,3500
2014,June,Q2,Existing Customer,Outbound,Gaming,1954000
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,620
2014,June,Q2,Existing Customer,Outbound,Public Sector,4836
2014,June,Q2,Existing Customer,Outbound,High Technology,3188
2014,June,Q2,Existing Customer,Outbound,Retail,1565
2014,June,Q2,Existing Customer,Outbound,Public Sector,12292
2014,June,Q2,Existing Customer,Outbound,Public Sector,1000
2014,June,Q2,Existing Customer,Outbound,Pharma/Health Care,7800
2014,June,Q2,Existing Customer,Outbound,Retail,12010
2014,June,Q2,Existing Customer,Outbound,Retail,11775
2014,June,Q2,Existing Customer,Outbound,Media & Entertainment,5000
2014,June,Q2,Existing Customer,Outbound,High Technology,52400
2014,June,Q2,Existing Customer,Outbound,Software as a Service,500
2014,June,Q2,Existing Customer,Outbound,Retail,25700
2014,June,Q2,Existing Customer,Outbound,Financial Services,5032
2014,July,Q3,New Customer,Inbound,Software as a Service,1000
2014,July,Q3,New Customer,Outbound,Financial Services,4632651
2014,July,Q3,New Customer,Outbound,Media & Entertainment,18100
2014,July,Q3,New Customer,Outbound,Consumer Goods,2778
2014,July,Q3,New Customer,Outbound,Software as a Service,8768
2014,July,Q3,New Customer,Inbound,Retail,2500
2014,July,Q3,New Customer,Outbound,Manufacturing,1957647
2014,July,Q3,New Customer,Inbound,Media & Entertainment,1000
2014,July,Q3,New Customer,Inbound,Gaming,1000
2014,July,Q3,New Customer,Outbound,Public Sector,8780
2014,July,Q3,New Customer,Inbound,Media & Entertainment,0
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Gaming,7500
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Inbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Manufacturing,2100
2014,July,Q3,New Customer,Inbound,Business Services,2000
2014,July,Q3,New Customer,Inbound,Consumer Goods,186000
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Inbound,Media & Entertainment,500
2014,July,Q3,New Customer,Outbound,Media & Entertainment,291667
2014,July,Q3,New Customer,Inbound,Media & Entertainment,1000
2014,July,Q3,New Customer,Outbound,Media & Entertainment,2325
2014,July,Q3,New Customer,Outbound,Business Services,2000
2014,July,Q3,New Customer,Outbound,Media & Entertainment,700000
2014,July,Q3,New Customer,Outbound,Gaming,2232
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Software as a Service,540
2014,July,Q3,New Customer,Inbound,Media & Entertainment,2190
2014,July,Q3,New Customer,Outbound,Gaming,6300
2014,July,Q3,New Customer,Outbound,Media & Entertainment,64000
2014,July,Q3,New Customer,Outbound,Media & Entertainment,1750
2014,July,Q3,New Customer,Outbound,Financial Services,0
2014,July,Q3,New Customer,Outbound,Media & Entertainment,12700
2014,July,Q3,New Customer,Outbound,Financial Services,11241
2014,July,Q3,New Customer,Outbound,Financial Services,2021
2014,July,Q3,New Customer,Outbound,Gaming,800
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Inbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Retail,1200
2014,July,Q3,New Customer,Outbound,Media & Entertainment,50000
2014,July,Q3,New Customer,Outbound,Media & Entertainment,26000
2014,July,Q3,New Customer,Outbound,Consumer Goods,2858
2014,July,Q3,New Customer,Outbound,Gaming,0
2014,July,Q3,New Customer,Outbound,Media & Entertainment,0
2014,July,Q3,New Customer,Outbound,High Technology,0
2014,July,Q3,New Customer,Inbound,Retail,5000
2014,July,Q3,New Customer,Inbound,Financial Services,12274
2014,July,Q3,New Customer,Outbound,Automotive,180000
2014,July,Q3,New Customer,Outbound,Software as a Service,10596
2014,July,Q3,Existing Customer,Outbound,Retail,5068
2014,July,Q3,Existing Customer,Outbound,Media & Entertainment,1500
2014,July,Q3,Existing Customer,Outbound,High Technology,504167
2014,July,Q3,Existing Customer,Outbound,Business Services,3895
2014,July,Q3,Existing Customer,Outbound,Retail,6499
2014,July,Q3,Existing Customer,Outbound,Retail,850
2014,July,Q3,Existing Customer,Outbound,Financial Services,4551
2014,July,Q3,Existing Customer,Outbound,Business Services,500
2014,July,Q3,Existing Customer,Outbound,Media & Entertainment,46132500
2014,July,Q3,Existing Customer,Outbound,Financial Services,7437
2014,July,Q3,Existing Customer,Outbound,Manufacturing,354
2014,July,Q3,Existing Customer,Outbound,High Technology,1200
2014,July,Q3,Existing Customer,Outbound,Consumer Goods,302000
2014,July,Q3,Existing Customer,Outbound,High Technology,1500
2014,July,Q3,Existing Customer,Outbound,Education,947
2014,July,Q3,Existing Customer,Outbound,Media & Entertainment,5109
2014,July,Q3,Existing Customer,Outbound,Retail,498
2014,July,Q3,Existing Customer,Outbound,Retail,5071
2014,July,Q3,Existing Customer,Inbound,Retail,0
2014,July,Q3,Existing Customer,Outbound,Retail,1937
2014,July,Q3,Existing Customer,Outbound,Retail,54092
2014,July,Q3,Existing Customer,Outbound,Media & Entertainment,27518
2014,July,Q3,Existing Customer,Outbound,Financial Services,23907
2014,July,Q3,Existing Customer,Outbound,Retail,39250
2014,July,Q3,Existing Customer,Outbound,Retail,9862
2014,July,Q3,Existing Customer,Outbound,Manufacturing,0
2014,July,Q3,Existing Customer,Outbound,Retail,1265
2014,July,Q3,Existing Customer,Outbound,Business Services,6646
2014,July,Q3,Existing Customer,Inbound,High Technology,8605
2014,July,Q3,Existing Customer,Outbound,Retail,2191617
2014,July,Q3,Existing Customer,Outbound,Retail,3500
2014,July,Q3,Existing Customer,Outbound,Retail,14500
2014,July,Q3,Existing Customer,Outbound,Business Services,2000
2014,July,Q3,Existing Customer,Outbound,Public Sector,1000
2014,July,Q3,Existing Customer,Outbound,Business Services,22525
2014,July,Q3,Existing Customer,Outbound,Media & Entertainment,1050
