ServiceRequestNo,ServiceRequestStatus,TypeOfEnagagement,Incident/ Problem,SR Priority,SR Open Date,SR Close Date,Product,Geography,Country
1632,Closed,Project,Incident,3-Medium,41652.00,41729.00,PHD ,Asia-Pacific,Taiwan
1639,Closed,Billable,Problem,3-Medium,41716.00,41729.00,PHD ,Asia-Pacific,Australia
1007,Closed,Contract,Incident,2-High,41703.00,41733.00,APC ,Asia-Pacific,Japan
1009,Closed,Contract,Incident,2-High,41723.00,41733.00,APC ,Asia-Pacific,Japan
1010,Closed,Contract,Incident,2-High,41723.00,41733.00,APC ,Asia-Pacific,Japan
1014,Closed,Contract,Incident,2-High,41726.00,41733.00,APC ,Asia-Pacific,India
1845,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
1846,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
1847,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
1848,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
1849,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
1850,Closed,Project,Incident,3-Medium,41698.00,41733.00,USD ,Asia-Pacific,India
2879,Closed,Contract,Incident,3-Medium,41725.00,41733.00,Busi,Asia-Pacific,India
2204,Closed,Project,Incident,3-Medium,41704.00,41736.00,Oper,Asia-Pacific,Korea South
2205,Closed,Project,Incident,3-Medium,41704.00,41736.00,Oper,Asia-Pacific,Korea South
2206,Closed,Project,Incident,3-Medium,41704.00,41736.00,Oper,Asia-Pacific,Korea South
1532,Closed,Contract,Incident,2-High,41698.00,41737.00,AAM ,Asia-Pacific,India
1630,Closed,Project,Incident,3-Medium,41646.00,41739.00,PHD ,Asia-Pacific,Singapore
1804,Closed,Project,Incident,3-Medium,41666.00,41739.00,USD ,Asia-Pacific,Singapore
1805,Closed,Project,Incident,3-Medium,41666.00,41739.00,USD ,Asia-Pacific,Singapore
1806,Closed,Project,Incident,3-Medium,41666.00,41739.00,USD ,Asia-Pacific,Singapore
1807,Closed,Project,Incident,3-Medium,41666.00,41739.00,USD ,Asia-Pacific,Singapore
1839,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1840,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1841,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1842,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1843,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1844,Closed,Project,Incident,3-Medium,41696.00,41739.00,USD ,Asia-Pacific,Singapore
1851,Closed,Project,Incident,3-Medium,41698.00,41739.00,USD ,Asia-Pacific,Singapore
1852,Closed,Project,Incident,3-Medium,41698.00,41739.00,USD ,Asia-Pacific,Singapore
1816,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1817,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1818,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1819,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1820,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1821,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1822,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1823,Closed,Project,Incident,3-Medium,41669.00,41741.00,USD ,Asia-Pacific,Malaysia
1828,Closed,Project,Incident,3-Medium,41696.00,41741.00,USD ,Asia-Pacific,Malaysia
1829,Closed,Project,Incident,3-Medium,41696.00,41741.00,USD ,Asia-Pacific,Malaysia
1830,Closed,Project,Incident,3-Medium,41696.00,41741.00,USD ,Asia-Pacific,Malaysia
2875,Closed,Project,Incident,3-Medium,41711.00,41743.00,Busi,Asia-Pacific,Australia
2843,Closed,No Charge Support,Incident,2-High,41743.00,41745.00,Busi,Asia-Pacific,India
2959,Closed,No Charge Support,Incident,2-High,41743.00,41745.00,AAM ,Asia-Pacific,India
2885,Closed,Contract,Incident,3-Medium,41747.00,41747.00,Busi,Asia-Pacific,India
1529,Closed,Project,Problem,2-High,41690.00,41748.00,AAM ,Asia-Pacific,Australia
1005,Closed,Contract,Problem,3-Medium,41667.00,41752.00,APC ,Asia-Pacific,India
1011,Closed,Contract,Problem,2-High,41723.00,41752.00,Unsp,Asia-Pacific,Japan
1526,Closed,Contract,Incident,3-Medium,41681.00,41752.00,AAM ,Asia-Pacific,Singapore
2844,Closed,Project,Incident,2-High,41753.00,41754.00,Blen,Asia-Pacific,India
2845,Closed,Project,Incident,2-High,41753.00,41754.00,Blen,Asia-Pacific,India
2960,Closed,Project,Problem,2-High,41753.00,41758.00,AAM ,Asia-Pacific,Australia
1631,Closed,Billable,Incident,3-Medium,41647.00,41762.00,PHD ,Asia-Pacific,Indonesia
2889,Closed,Contract,Problem,2-High,41751.00,41762.00,Busi,Asia-Pacific,India
1548,Closed,Project,Request for Fulfillment,2-High,41759.00,41765.00,AAM ,Asia-Pacific,Australia
1642,Closed,Billable,Request for Fulfillment,3-Medium,41722.00,41765.00,PHD ,Asia-Pacific,Vietnam
2930,Closed,Contract,Problem,3-Medium,41765.00,41766.00,Unsp,Asia-Pacific,India
1541,Closed,Contract,Incident,3-Medium,41740.00,41767.00,AAM ,Asia-Pacific,India
1638,Closed,Contract,Incident,2-High,41716.00,41767.00,PHD ,Asia-Pacific,Australia
2916,Closed,Contract,Incident,2-High,41768.00,41768.00,Busi,Asia-Pacific,Japan
2929,Closed,Contract,Incident,3-Medium,41768.00,41768.00,Unsp,Asia-Pacific,India
2232,Closed,Project,Incident,3-Medium,41718.00,41771.00,USD ,Asia-Pacific,India
2233,Closed,Project,Incident,3-Medium,41718.00,41771.00,USD ,Asia-Pacific,India
2234,Closed,Project,Incident,3-Medium,41718.00,41771.00,USD ,Asia-Pacific,India
2235,Closed,Project,Incident,3-Medium,41718.00,41771.00,USD ,Asia-Pacific,India
2245,Closed,Project,Incident,2-High,41724.00,41771.00,Oper,Asia-Pacific,Australia
2246,Closed,Project,Incident,2-High,41724.00,41771.00,Oper,Asia-Pacific,Australia
2247,Closed,Project,Incident,2-High,41724.00,41771.00,Oper,Asia-Pacific,Australia
2248,Closed,Project,Incident,2-High,41724.00,41771.00,Oper,Asia-Pacific,Australia
2258,Closed,No Charge Support,Incident,4-Low,41736.00,41771.00,USD ,Asia-Pacific,India
2259,Closed,Project,Incident,2-High,41737.00,41771.00,Oper,Asia-Pacific,Indonesia
2260,Closed,Project,Incident,2-High,41737.00,41771.00,Oper,Asia-Pacific,Indonesia
2261,Closed,Project,Incident,2-High,41737.00,41771.00,Oper,Asia-Pacific,Indonesia
2262,Closed,Project,Incident,2-High,41737.00,41771.00,Oper,Asia-Pacific,Indonesia
2263,Closed,Project,Incident,2-High,41737.00,41771.00,Oper,Asia-Pacific,Indonesia
2269,Closed,Project,Incident,4-Low,41740.00,41771.00,Oper,Asia-Pacific,India
2270,Closed,Project,Incident,4-Low,41740.00,41771.00,Oper,Asia-Pacific,India
2271,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2272,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2273,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2274,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2275,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2276,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2277,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2278,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2279,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2280,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2281,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2282,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2283,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2284,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2285,Closed,Project,Incident,2-High,41743.00,41771.00,Oper,Asia-Pacific,Australia
2842,Closed,Project,Incident,3-Medium,41690.00,41771.00,Blen,Asia-Pacific,India
2317,Closed,Project,Incident,3-Medium,41765.00,41772.00,USD ,Asia-Pacific,India
2318,Closed,Project,Incident,3-Medium,41765.00,41772.00,USD ,Asia-Pacific,India
2319,Closed,Project,Incident,3-Medium,41765.00,41772.00,USD ,Asia-Pacific,India
2872,Closed,Contract,Incident,2-High,41691.00,41772.00,Busi,Asia-Pacific,India
2023,Closed,Billable,Problem,3-Medium,41659.00,41773.00,Blen,Asia-Pacific,Malaysia
1646,Closed,Project,Incident,3-Medium,41730.00,41774.00,Unsp,Asia-Pacific,Philippines
2027,Closed,Project,Incident,3-Medium,41775.00,41775.00,Blen,Asia-Pacific,India
2911,Closed,Contract,Incident,3-Medium,41775.00,41775.00,Busi,Asia-Pacific,India
2913,Closed,Contract,Incident,4-Low,41775.00,41775.00,Busi,Asia-Pacific,India
2918,Closed,Contract,Incident,3-Medium,41775.00,41775.00,Busi,Asia-Pacific,India
2922,Closed,Contract,Request for Fulfillment,3-Medium,41774.00,41775.00,Busi,Asia-Pacific,India
2933,Closed,Contract,Incident,2-High,41750.00,41775.00,Busi,Asia-Pacific,India
1550,Closed,Project,Request for Fulfillment,4-Low,41772.00,41778.00,AAM ,Asia-Pacific,Australia
2891,Closed,Contract,Incident,1-Critical,41761.00,41778.00,Unsp,Asia-Pacific,India
2910,Closed,Contract,Incident,3-Medium,41779.00,41779.00,Busi,Asia-Pacific,India
2925,Closed,Contract,Incident,3-Medium,41770.00,41779.00,Busi,Asia-Pacific,India
2928,Closed,Contract,Incident,3-Medium,41770.00,41779.00,Busi,Asia-Pacific,India
2026,Closed,Project,Problem,2-High,41775.00,41780.00,Blen,Asia-Pacific,Korea South
2309,Closed,Project,Incident,1-Critical,41758.00,41780.00,USD ,Asia-Pacific,Bangladesh
2310,Closed,Project,Incident,1-Critical,41758.00,41780.00,USD ,Asia-Pacific,Bangladesh
2311,Closed,Project,Incident,1-Critical,41758.00,41780.00,USD ,Asia-Pacific,Bangladesh
2028,Closed,Project,Incident,3-Medium,41779.00,41781.00,Blen,Asia-Pacific,India
1546,Closed,Project,Problem,2-High,41751.00,41782.00,AAM ,Asia-Pacific,New Zealand
2029,Closed,Project,Incident,3-Medium,41781.00,41782.00,Blen,Asia-Pacific,India
2374,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2375,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2376,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2377,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2378,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2379,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2380,Closed,Project,Incident,2-High,41782.00,41782.00,Oper,Asia-Pacific,India
2919,Closed,Contract,Incident,3-Medium,41775.00,41785.00,Busi,Asia-Pacific,India
2857,Closed,Project,Incident,3-Medium,41781.00,41786.00,Blen,Asia-Pacific,India
1547,Closed,Project,Incident,3-Medium,41756.00,41788.00,AAM ,Asia-Pacific,Japan
2084,Closed,Project,Problem,3-Medium,41646.00,41788.00,Oper,Asia-Pacific,Australia
2085,Closed,Project,Problem,3-Medium,41646.00,41788.00,Oper,Asia-Pacific,Australia
2086,Closed,Project,Problem,3-Medium,41646.00,41788.00,Oper,Asia-Pacific,Australia
2088,Closed,Project,Problem,3-Medium,41647.00,41788.00,Oper,Asia-Pacific,Australia
2089,Closed,Project,Problem,3-Medium,41647.00,41788.00,Oper,Asia-Pacific,Australia
2137,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2138,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2139,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2140,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2141,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2142,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2143,Closed,Project,Incident,3-Medium,41682.00,41788.00,Oper,Asia-Pacific,Singapore
2207,Closed,Project,Incident,3-Medium,41708.00,41788.00,USD ,Asia-Pacific,Australia
2208,Closed,Project,Incident,3-Medium,41708.00,41788.00,USD ,Asia-Pacific,Australia
2209,Closed,Project,Incident,3-Medium,41708.00,41788.00,USD ,Asia-Pacific,Australia
2210,Closed,Project,Incident,3-Medium,41708.00,41788.00,USD ,Asia-Pacific,Australia
2211,Closed,Project,Incident,3-Medium,41708.00,41788.00,USD ,Asia-Pacific,Australia
2257,Closed,Project,Incident,2-High,41730.00,41788.00,Oper,Asia-Pacific,India
2956,Closed,Project,Incident,3-Medium,41719.00,41788.00,AAM ,Asia-Pacific,Japan
2961,Closed,Contract,Request for Fulfillment,3-Medium,41767.00,41788.00,AAM ,Asia-Pacific,Australia
1008,Closed,Contract,Incident,3-Medium,41723.00,41789.00,APC ,Asia-Pacific,Singapore
2934,Closed,Contract,Problem,1-Critical,41744.00,41789.00,Busi,Asia-Pacific,India
1544,Closed,Project,Problem,2-High,41744.00,41792.00,AAM ,Asia-Pacific,Australia
1643,Closed,Project,Incident,2-High,41723.00,41793.00,PHD ,Asia-Pacific,Australia
1644,Closed,Project,Incident,2-High,41723.00,41793.00,PHD ,Asia-Pacific,Australia
2030,Closed,Project,Incident,3-Medium,41782.00,41794.00,Blen,Asia-Pacific,India
2899,Closed,Contract,Request for Fulfillment,3-Medium,41788.00,41794.00,Busi,Asia-Pacific,India
2963,Closed,Project,Incident,3-Medium,41781.00,41795.00,AAM ,Asia-Pacific,Australia
2373,Closed,Project,Incident,2-High,41794.00,41796.00,AAM ,Asia-Pacific,India
2890,Closed,Contract,Request for Fulfillment,3-Medium,41796.00,41796.00,Unsp,Asia-Pacific,India
2892,Closed,Contract,Incident,4-Low,41796.00,41796.00,Unsp,Asia-Pacific,India
2893,Closed,Contract,Request for Fulfillment,4-Low,41796.00,41796.00,Unsp,Asia-Pacific,India
2895,Closed,Contract,Request for Fulfillment,3-Medium,41796.00,41796.00,Unsp,Asia-Pacific,India
2553,Closed,Contract,Incident,2-High,41797.00,41797.00,Busi,Asia-Pacific,India
2554,Closed,Contract,Request for Fulfillment,2-High,41797.00,41797.00,Busi,Asia-Pacific,India
2555,Closed,Contract,Request for Fulfillment,2-High,41797.00,41797.00,Busi,Asia-Pacific,India
2556,Closed,Contract,Request for Fulfillment,2-High,41797.00,41797.00,Busi,Asia-Pacific,India
2372,Closed,Project,Incident,2-High,41795.00,41799.00,AAM ,Asia-Pacific,India
2370,Closed,Contract,Incident,2-High,41799.00,41800.00,Busi,Asia-Pacific,India
2544,Closed,Contract,Incident,3-Medium,41800.00,41800.00,Busi,Asia-Pacific,India
2552,Closed,Contract,Incident,2-High,41799.00,41800.00,Busi,Asia-Pacific,India
2545,Closed,Contract,Request for Fulfillment,3-Medium,41799.00,41801.00,Busi,Asia-Pacific,India
2871,Closed,Contract,Incident,3-Medium,41799.00,41801.00,Busi,Asia-Pacific,India
2881,Closed,Contract,Incident,3-Medium,41796.00,41801.00,Unsp,Asia-Pacific,India
2894,Closed,Contract,Incident,2-High,41767.00,41801.00,Busi,Asia-Pacific,Singapore
2898,Closed,Contract,Incident,3-Medium,41792.00,41801.00,Busi,Asia-Pacific,India
2902,Closed,Contract,Problem,3-Medium,41794.00,41802.00,AAM ,Asia-Pacific,Malaysia
2964,Closed,Contract,Problem,3-Medium,41794.00,41802.00,AAM ,Asia-Pacific,Malaysia
2543,Closed,Contract,Incident,3-Medium,41802.00,41806.00,Busi,Asia-Pacific,India
2542,Closed,Contract,Incident,3-Medium,41807.00,41807.00,Busi,Asia-Pacific,India
2541,Closed,Contract,Incident,3-Medium,41808.00,41808.00,PHD ,Asia-Pacific,India
2031,Closed,Project,Incident,3-Medium,41808.00,41809.00,Blen,Asia-Pacific,India
1557,Closed,Project,Problem,3-Medium,41807.00,41810.00,AAM ,Asia-Pacific,Indonesia
2032,Closed,Project,Incident,3-Medium,41809.00,41810.00,Blen,Asia-Pacific,India
2368,Closed,Contract,Incident,3-Medium,41802.00,41813.00,Busi,Asia-Pacific,India
2870,Closed,Contract,Incident,2-High,41802.00,41813.00,Busi,Asia-Pacific,India
1525,Closed,Project,Incident,3-Medium,41667.00,41815.00,AAM ,Asia-Pacific,Japan
2958,Closed,Project,Incident,2-High,41724.00,41815.00,AAM ,Asia-Pacific,Japan
2970,Closed,Project,Incident,3-Medium,41814.00,41817.00,AAM ,Asia-Pacific,Japan
1802,Closed,Project,Incident,3-Medium,41641.00,41818.00,USD ,Asia-Pacific,Australia
1808,Closed,Project,Incident,3-Medium,41668.00,41818.00,USD ,Asia-Pacific,Korea South
1811,Closed,Project,Incident,3-Medium,41668.00,41818.00,USD ,Asia-Pacific,Malaysia
1812,Closed,Project,Incident,3-Medium,41668.00,41818.00,USD ,Asia-Pacific,Malaysia
1814,Closed,Project,Incident,3-Medium,41669.00,41818.00,USD ,Asia-Pacific,Malaysia
1815,Closed,Project,Incident,3-Medium,41669.00,41818.00,USD ,Asia-Pacific,Malaysia
1824,Closed,Project,Incident,3-Medium,41669.00,41818.00,USD ,Asia-Pacific,Singapore
1825,Closed,Project,Incident,3-Medium,41669.00,41818.00,USD ,Asia-Pacific,Singapore
1826,Closed,Project,Incident,3-Medium,41669.00,41818.00,USD ,Asia-Pacific,Singapore
1854,Closed,Project,Problem,3-Medium,41708.00,41818.00,USD ,Asia-Pacific,Korea South
1855,Closed,Project,Problem,3-Medium,41708.00,41818.00,USD ,Asia-Pacific,Korea South
1858,Closed,Project,Incident,2-High,41722.00,41818.00,USD ,Asia-Pacific,Australia
1859,Closed,Project,Incident,2-High,41722.00,41818.00,USD ,Asia-Pacific,Australia
1876,Closed,Project,Incident,3-Medium,41768.00,41818.00,USD ,Asia-Pacific,Singapore
1877,Closed,Project,Incident,3-Medium,41768.00,41818.00,USD ,Asia-Pacific,Singapore
1883,Closed,Project,Incident,2-High,41794.00,41818.00,USD ,Asia-Pacific,India
1884,Closed,Project,Incident,2-High,41794.00,41818.00,USD ,Asia-Pacific,India
2367,Closed,Contract,Incident,3-Medium,41814.00,41820.00,Busi,Asia-Pacific,India
2904,Closed,Contract,Problem,3-Medium,41802.00,41820.00,AAM ,Asia-Pacific,Malaysia
2827,Closed,Contract,Incident,3-Medium,41816.00,41822.00,Busi,Asia-Pacific,India
2992,Closed,Project,Incident,3-Medium,41820.00,41824.00,Blen,Asia-Pacific,India
2993,Closed,Project,Incident,3-Medium,41817.00,41824.00,Blen,Asia-Pacific,India
2874,Closed,Billable,Problem,2-High,41708.00,41828.00,Busi,Asia-Pacific,Australia
2438,Closed,Project,Incident,2-High,41829.00,41830.00,USD ,Asia-Pacific,Unspecified
2439,Closed,Project,Incident,2-High,41829.00,41830.00,USD ,Asia-Pacific,Unspecified
2991,Closed,Project,Incident,3-Medium,41831.00,41831.00,Blen,Asia-Pacific,India
1673,Closed,Project,Incident,2-High,41830.00,41834.00,PHD ,Asia-Pacific,Japan
2366,Closed,Project,Incident,2-High,41815.00,41834.00,Busi,Asia-Pacific,India
2369,Closed,Contract,Incident,3-Medium,41800.00,41834.00,Busi,Asia-Pacific,India
2862,Closed,Contract,Incident,3-Medium,41803.00,41834.00,Busi,Asia-Pacific,India
2458,Closed,No Charge Support,Incident,2-High,41835.00,41835.00,USD ,Asia-Pacific,Singapore
2459,Closed,No Charge Support,Incident,2-High,41835.00,41835.00,USD ,Asia-Pacific,Singapore
2908,Closed,Project,Incident,3-Medium,41821.00,41835.00,Unsp,Asia-Pacific,Indonesia
2814,Closed,Contract,Incident,3-Medium,41829.00,41838.00,Busi,Asia-Pacific,India
2858,Closed,Project,Incident,3-Medium,41827.00,41838.00,Blen,Asia-Pacific,India
2363,Closed,Contract,Incident,2-High,41829.00,41842.00,Busi,Asia-Pacific,India
2365,Closed,Project,Incident,2-High,41817.00,41842.00,Busi,Asia-Pacific,India
2452,Closed,Contract,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,India
2453,Closed,Contract,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,India
2454,Closed,No Charge Support,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,Singapore
2455,Closed,No Charge Support,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,Singapore
2456,Closed,No Charge Support,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,Singapore
2457,Closed,No Charge Support,Incident,2-High,41835.00,41848.00,USD ,Asia-Pacific,Singapore
2460,Closed,Contract,Incident,3-Medium,41836.00,41848.00,USD ,Asia-Pacific,India
2461,Closed,No Charge Support,Incident,2-High,41838.00,41848.00,USD ,Asia-Pacific,India
2462,Closed,No Charge Support,Incident,2-High,41838.00,41848.00,USD ,Asia-Pacific,India
2856,Closed,Contract,Incident,3-Medium,41807.00,41848.00,Busi,Asia-Pacific,India
2861,Closed,Contract,Incident,3-Medium,41807.00,41848.00,Busi,Asia-Pacific,India
2873,Closed,Contract,Incident,3-Medium,41705.00,41848.00,Busi,Asia-Pacific,India
2882,Closed,Contract,Incident,3-Medium,41726.00,41848.00,Busi,Asia-Pacific,India
2901,Closed,Contract,Incident,3-Medium,41785.00,41848.00,Busi,Asia-Pacific,India
2033,Closed,Project,Incident,3-Medium,41842.00,41850.00,Unsp,Asia-Pacific,Singapore
2475,Closed,No Charge Support,Incident,3-Medium,41843.00,41850.00,USD ,Asia-Pacific,Korea South
2476,Closed,No Charge Support,Incident,3-Medium,41843.00,41850.00,USD ,Asia-Pacific,Unspecified
2477,Closed,No Charge Support,Incident,2-High,41844.00,41850.00,USD ,Asia-Pacific,Korea South
2478,Closed,No Charge Support,Incident,2-High,41844.00,41850.00,USD ,Asia-Pacific,Korea South
2479,Closed,No Charge Support,Incident,2-High,41844.00,41850.00,USD ,Asia-Pacific,China
2480,Closed,No Charge Support,Incident,2-High,41844.00,41850.00,USD ,Asia-Pacific,China
2546,Closed,Contract,Request for Fulfillment,3-Medium,41799.00,41850.00,Busi,Asia-Pacific,India
2846,Closed,Project,Incident,3-Medium,41842.00,41850.00,Unsp,Asia-Pacific,Singapore
2878,Closed,Contract,Request for Fulfillment,3-Medium,41799.00,41850.00,Busi,Asia-Pacific,India
2501,Closed,Project,Incident,2-High,41850.00,41851.00,Oper,Asia-Pacific,Thailand
2502,Closed,Project,Incident,2-High,41850.00,41851.00,Oper,Asia-Pacific,Thailand
2503,Closed,Project,Incident,2-High,41850.00,41851.00,Oper,Asia-Pacific,Thailand
