ServiceRequestNo,ServiceRequestStatus,TypeOfEnagagement,Incident/ Problem,SR Priority,SR Open Date,SR Close Date,Product,Geography,Country
2090,Closed,Project,Incident,3-Medium,41647.00,41648.00,Oper,Asia-Pacific,Australia
2863,Closed,Contract,Problem,3-Medium,41655.00,41659.00,Busi,Asia-Pacific,India
1517,Closed,Project,Problem,3-Medium,41649.00,41663.00,AAM ,Asia-Pacific,New Zealand
2864,Closed,No Charge Support,Request for Fulfillment,3-Medium,41666.00,41667.00,Busi,Asia-Pacific,India
2865,Closed,No Charge Support,Request for Fulfillment,3-Medium,41666.00,41667.00,Busi,Asia-Pacific,India
2866,Closed,No Charge Support,Request for Fulfillment,3-Medium,41666.00,41667.00,Busi,Asia-Pacific,India
2022,Closed,Project,Incident,3-Medium,41645.00,41668.00,Blen,Asia-Pacific,India
2061,Canceled,No Charge Support,Problem,3-Medium,41669.00,41669.00,Busi,Asia-Pacific,Australia
2954,Closed,Contract,Incident,3-Medium,41667.00,41674.00,AAM ,Asia-Pacific,Singapore
2996,Closed,Project,Incident,3-Medium,41655.00,41677.00,Blen,Asia-Pacific,India
2840,Closed,Project,Incident,3-Medium,41652.00,41682.00,Unsp,Asia-Pacific,Singapore
2841,Closed,Project,Incident,3-Medium,41652.00,41682.00,Unsp,Asia-Pacific,Singapore
1633,Closed,Project,Incident,2-High,41667.00,41688.00,PHD ,Asia-Pacific,Japan
1989,Closed,Project,Incident,3-Medium,41647.00,41688.00,Unsp,Asia-Pacific,Singapore
1528,Closed,Project,Problem,2-High,41688.00,41689.00,AAM ,Asia-Pacific,Australia
1635,Closed,Contract,Incident,3-Medium,41688.00,41689.00,PHD ,Asia-Pacific,Japan
1523,Closed,Contract,Problem,3-Medium,41666.00,41694.00,AAM ,Asia-Pacific,Singapore
1524,Closed,Project,Incident,3-Medium,41667.00,41694.00,AAM ,Asia-Pacific,Japan
1827,Closed,Project,Incident,3-Medium,41681.00,41695.00,Oper,Asia-Pacific,Korea South
1001,Closed,Project,Incident,2-High,41641.00,41699.00,APC ,Asia-Pacific,Thailand
1002,Closed,Project,Incident,2-High,41641.00,41699.00,APC ,Asia-Pacific,Thailand
1636,Closed,Contract,Incident,3-Medium,41697.00,41703.00,PHD ,Asia-Pacific,Japan
2839,Closed,Project,Request for Fulfillment,3-Medium,41645.00,41704.00,Blen,Asia-Pacific,India
1527,Closed,Project,Problem,3-Medium,41682.00,41710.00,AAM ,Asia-Pacific,Australia
1637,Closed,Contract,Incident,2-High,41703.00,41710.00,PHD ,Asia-Pacific,Japan
2144,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2145,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2146,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2147,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2148,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2149,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2150,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2151,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2152,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2153,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2154,Closed,Project,Incident,3-Medium,41688.00,41717.00,Oper,Asia-Pacific,Korea South
2223,Closed,No Charge Support,Incident,3-Medium,41716.00,41717.00,USD ,Asia-Pacific,India
2224,Closed,No Charge Support,Incident,3-Medium,41716.00,41717.00,USD ,Asia-Pacific,India
2225,Closed,No Charge Support,Incident,3-Medium,41716.00,41717.00,USD ,Asia-Pacific,India
1004,Closed,Contract,Incident,3-Medium,41663.00,41722.00,APC ,Asia-Pacific,Singapore
2024,Closed,Project,Incident,3-Medium,41696.00,41722.00,Unsp,Asia-Pacific,Singapore
2025,Closed,Project,Incident,3-Medium,41705.00,41722.00,Blen,Asia-Pacific,India
1533,Closed,Project,Problem,2-High,41701.00,41723.00,AAM ,Asia-Pacific,New Zealand
