SR number,SR Type,Entitlement,Impact,Billable,Date Opened,Closed Date
1-7362055845,Problem,Requested Services SESP Remote - Fulfilment - 13,Significant,N,5/23/2014 7:12,9/18/2014 21:26
1-8337731706,Problem,Requested Services SESP Remote - Fulfilment - 13,Minor,N,3/16/2015 21:33,3/24/2015 11:10
1-8367295944,Problem,Requested Services SESP Remote - Fulfilment - 13,Moderate,N,3/24/2015 11:13,4/3/2015 19:10
1-7102276122,Problem,,Significant,N,5/12/2014 11:02,5/30/2014 11:36
1-5045182192,Problem,,Significant,N,1/22/2014 21:22,3/1/2014 20:21
1-4850033962,Problem,Requested Services - Fulfilment,Moderate,N,1/9/2014 7:11,1/13/2014 9:30
1-4911128810,Problem,Requested Services - Fulfilment,Moderate,N,1/17/2014 12:03,1/24/2014 6:13
1-5493097506,Problem,Requested Services - Fulfilment,Moderate,N,2/14/2014 4:44,2/20/2014 7:55
1-5916998822,Problem,Requested Services - Fulfilment,Moderate,N,3/4/2014 7:05,3/5/2014 5:53
1-7420230989,Problem,Requested Services - Incident Support - 1,Significant,N,6/12/2014 15:18,6/23/2014 18:10
1-7479898473,Problem,Requested Services - Incident Support - 1,Moderate,N,7/1/2014 4:45,8/22/2014 10:34
1-7524776075,Problem,Requested Services - Incident Support - 1,Moderate,N,7/18/2014 6:47,9/29/2014 19:41
1-5183867232,Problem,Preventive Maintenance - 3,Moderate,N,1/28/2014 19:14,4/23/2014 18:27
1-7462143701,Problem,Requested Services - Fulfilment - 2,Significant,N,6/24/2014 11:30,12/6/2014 19:28
1-5178255196,Problem,Requested Services - Fulfilment - 2,Significant,N,1/28/2014 12:04,3/11/2014 10:36
1-7389952431,Problem,Requested Services - Fulfilment - 2,Moderate,N,6/2/2014 13:57,12/6/2014 19:26
1-8635849535,Problem,,Moderate,N,5/29/2015 10:45,6/3/2015 1:15
1-6790560896,Problem,Requested Services - Fulfilment - 3,Moderate,N,4/24/2014 11:43,10/22/2014 15:48
1-7781207461,Problem,Requested Services SESP Basic - Fulfilment - 8,Significant,N,10/22/2014 16:05,3/2/2015 17:12
1-8355435434,Problem,,Moderate,N,3/20/2015 18:02,5/21/2015 0:18
1-6175839081,Problem,,Significant,Y,3/19/2014 16:00,5/30/2014 16:36
1-8206160524,Problem,,Significant,N,2/11/2015 7:20,4/27/2015 18:22
1-7811330003,Request for Fulfillment,Process Optimization - BGP,Moderate,N,10/29/2014 1:36,3/27/2015 22:33
1-4904296362,Request for Fulfillment,Requested Services - Fulfilment,Moderate,N,1/17/2014 5:52,1/23/2014 4:46
1-5358518712,Request for Fulfillment,Requested Services - Fulfilment,Minor,N,2/6/2014 3:36,2/14/2014 4:42
1-5916998859,Request for Fulfillment,Requested Services - Fulfilment,Moderate,N,3/4/2014 11:09,3/18/2014 5:16
1-7452254526,Request for Fulfillment,Requested Services - Incident Support - 1,Moderate,N,6/19/2014 6:07,7/4/2014 4:30
1-7419717238,Request for Fulfillment,Requested Services - Fulfilment - 3,Moderate,N,6/12/2014 13:26,6/23/2014 16:36
1-7519753804,Request for Fulfillment,Requested Services SESP Remote - Incident Support - 5,Moderate,N,7/16/2014 11:22,12/30/2014 22:36
1-8518499387,Request for Fulfillment,,Moderate,N,4/23/2015 12:51,5/12/2015 6:52
